domain	tier	repo	stars	total_py	test_ratio	max_nest	max_func_lines	env_refs	auth_refs	secret_refs	raw_sql	orm	contract_test	sar
network-proxy	mid	Flowseal/tg-ws-proxy	1565	2	0%	13	254	1	1	0	4	0	0	0
security-pentest	upper	Manisso/fsociety	11924	1	0%	8		0	1	0	0	1	1	0
network-proxy	upper	FlareSolverr/FlareSolverr	13079	21	0%	10	393	18	4	1	1	11	0	0
security-pentest	mid	GH05TCREW/pentestagent	1749	67	1.4%	12	741	0	0	0	0	0	2	0
network-protocol	lower	SolaWing/xcode-build-server	925	9	0%	8	153	1	1	0	0	1	1	0
security-pentest	upper	GreyDGL/PentestGPT	12089	116	13.7%	10	210	3	3	9	6	0	0	0
media-image	mid	PyImageSearch/imutils	4592	43	0%	10	64	0	19	0	4	1	0	0
web-framework	mid	Neoteroi/BlackSheep	2318	188	30.3%	11	261	21	25	37	46	20	0	0
cli-tool	mid	arc90/git-sweep	2657	15	20.0%	7	68	2	1	0	1	0	0	0
tui	mid	TomasTomecek/sen	1047	50	14.0%	14	92	1	1	0	10	9	0	0
tui	lower	aegirhall/console-menu	376	54	37.0%	25	75	0	3	0	15	4	0	0
testing	mid	ansible/molecule	4085	159	42.7%	8	133	37	8	0	46	1	11	0
web-framework	mid	MasoniteFramework/masonite	2365	511	16.8%	11	146	8	58	3	10	26	2	0
media-image	mid	cvzone/cvzone	1313	32	0%	16	61	0	1	0	0	0	0	0
nlp	lower	booknlp/booknlp	895	24	0%	5	350	0	15	0	0	5	0	0
testing	mid	darrenburns/ward	1211	44	38.6%	7	84	1	1	0	10	0	0	0
network-proxy	mid	claffin/cloudproxy	1684	58	55.1%	11	119	81	12	11	6	6	0	0
security-pentest	mid	galkan/crowbar	1500	11	0%	9	107	1	1	1	0	0	0	0
network-proxy	mid	genotrance/px	1073	23	26.0%	9	174	9	5	10	0	1	0	0
security-pentest	mid	fsociety-team/fsociety	1694	39	0%	7	64	2	6	0	0	0	0	0
cli-tool	mid	jasonacox/tinytuya	1528	70	0%	10	685	30	16	8	1	11	0	0
cli-tool	upper	icloud-photos-downloader/icloud_photos_downloader	11708	81	28.3%	11	370	3	16	17	9	36	1	0
network-protocol	lower	kendricktan/misocoin	393	8	0%	8	96	0	2	0	0	5	0	0
graphql	mid	knowsuchagency/mcp2cli	1168	23	34.7%	11	161	7	9	0	15	25	1	0
tui	lower	learnbyexample/TUI-apps	970	61	0%	14	73	0	0	0	4	0	0	0
cli-tool	mid	kellyjonbrazil/jc	8560	543	43.4%	15	394	8	253	0	11	134	0	0
nlp	upper	explosion/spaCy	33335	876	30.3%	13	656	9	192	0	55	15	30	0
network-proxy	mid	open-webui/mcpo	4060	10	20.0%	9	259	8	4	28	4	8	0	0
media-image	lower	letmaik/rawpy	786	18	50.0%	8	104	10	1	0	1	0	0	0
web-framework	mid	miguelgrinberg/microdot	2093	115	17.3%	14	124	1	17	17	2	25	0	0
nlp	mid	microsoft/nlp-recipes	6447	147	25.8%	16	378	13	49	0	19	35	0	0
domain	tier	repo	stars	0	0%	0	0	0	0	0	0	0	0	0
nlp	lower	ramsrigouthamg/Questgen.ai	946	10	0%	9	48	0	5	0	0	0	0	0
network-protocol	mid	python-hyper/h2	1032	56	44.6%	16	150	0	9	0	17	0	0	0
game	mid	pokepetter/ursina	2522	212	.9%	11	666	0	5	0	150	11	1	0
nlp	upper	sebastianruder/NLP-progress	22978	1	0%	5	124	0	1	0	0	0	0	0
testing	mid	terraform-compliance/cli	1440	63	19.0%	28	199	3	2	0	2	2	0	0
web-framework	mid	frappe/frappe	9814	1458	18.4%	10	495	59	126	60	428	806	4	0
web-framework	mid	vibora-io/vibora	5607	139	0%	12	71	3	4	3	18	17	3	0
media-image	lower	yuanming-hu/exposure	780	22	4.5%	19	263	2	0	0	3	13	0	0
media-image	lower	xavctn/img2table	859	130	31.5%	27	105	4	3	13	2	33	0	0
